Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,Non-specified,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12'038
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,
,,,,Non-specified precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6'293,830,,,
,,,,Other illicit opioids,12,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7'208,,,,,,,
,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'015,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5'093,,,,0,,0
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'632,,18,,6'674
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584
,,,,Poppy plants,14'283,118'664,32'826,90'208,71'329,44'537,165'503,45'421,59'289,34'792,48'834,45'956,,21'189,,10,,,,,,,,,,,,,,,,,,,3'770,,,,262'773
,,Maldives,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,0,,0,,,,0,,,,,,,,,,,,,
,,,,Non-specified ATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,8,,,,,,,,,16,,,,,,,,,,,,,,,,
,,,Hashish (resin),Hashish (resin),0,,,0,0,0,,0,,,,10,,,,,,,,0,,,0,,,,,,,,,,,,,,,,
,,,Heroine and Morphine,Heroin,,,,,0,,,,,,,,,1,0,0,,,1,0,,0,0,,,2,,10,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),0,,,0,0,0,0,,,,0,0,1,2,0,,,,0,0,,0,0,,,,,,,,,3,,,,,,,
,,,Opium,Opium,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Other drugs,Cannabis oil,,,,,,,,,,,0,0,0,,0,0,,,,0,,0,,,,0,,,,,,,,,,,,,
,,,,Cannabis seed,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2,,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,Nepal,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,Non-specified ATS,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,1,,,18,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,Hashish (resin),Hashish (resin),516,244,,112,112,,,289,206,188,396,710,958,518,501,2'133,1'917,982,2'586,1'671,2'540,,850,922,,65,2'402,2'131,1'989,1'629,,1'923,,,,,,,1'546
,,,Heroine and Morphine,Heroin,,,,1,1,,,6,4,8,2,8,21,18,17,7,10,11,9,2,2,9,10,23,,2,28,11,10,34,,0,,,,,,,8
,,,,Illicit morphine,,,,,0,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),62,349,,3'891,200,,,146'800,5'690,1'195,737,545,2'133,,2'482,5'521,2'272,2'041,6'410,4'065,8'025,,850,,1'173,5'864,6'654,8'093,9'613,16'666,,,,,,,,,4'181
,,,Opium,Opium,,,,2,,,,3,0,0,2,0,1,0,4,0,0,,1,1,,,,,,,,,106,256,,,,,,,,,7
,,,Other drugs,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,Cannabis oil,6,3,,,,,,,,,,,,,,2,,1'342,,2,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,,,,,,,,,,,,,,2'448,2'375,,,,,,,,3'320,5'091,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,1,,,,,,,,,,,
,,,,LSD,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,0,0,,,,35,,,,0,0,,,,,,,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,Poppy plants,,,,,,,,,,,,,,,56,,,1,,,,,,,,,,,,,,,,,,,,,
,,Sri Lanka,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,0,
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2,4,2,,,,,7
,,,,Non-specified ATS,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,0,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,0,0,0,0,,,,9,,,,,,0,,,,,1,,,,,,,0,0,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,8,,,6,1'571,221,21
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,,
,,,Hashish (resin),Hashish (resin),79,126,28,3,19,1,22,8,0,1,53,1,,,1,1,11'027,18,,,0,0,19'979,0,5,0,0,0,0,3,23,19,0,1,,4,40,38,33
,,,Heroine and Morphine,Heroin,,0,3,5,39,21,25,20,19,73,82,25,36,43,22,40,40,55,57,69,94,102,63,54,78,52,65,30,17,34,143,39,33,351,313,47,207,315,739
,,,,Illicit morphine,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),2'550,4'339,11'532,70'548,7'396,3'932,6'576,5'938,2'075,5'174,8'832,9'998,13'978,315'896,3'803,7'998,20'332,63'339,3'451,4'062,5'026,,,,,,,,,,,,73'872,81'938,19'644,6'570,4'175,4'988,4'878
,,,Opium,Opium,188,28,12,6,1,6,26,6,33,1,5,109,9,1,1,0,0,0,0,0,36,2,17,4,2,0,0,0,0,1,,,,1,,2,15,0,
,,,Other drugs,Cannabis oil,,,,147,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,357'678,1'241'729,38'313,61'827,66'536,38'911,16'808,10'618,605,775,538,,35'252,172'000,47'735,51'451,65'010,49'900,21'375,372'000,32'524,77'021,25'834,73'774,36'845,29'490,18'219,37'310,55'696,84'605,114'391,203'501,,,,,,,
,,,,Cannabis seed,,,,8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LSD,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,,,Other illicit opioids,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Poppy seed,,,,,,,,,,100,,,1,2,,18,58,,,,,,,,,,,,,,,,,,,,,,
,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Europe,Eastern Europe,Belarus,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,3,3,8,14,3,2,,,1,2,4
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,11,3,2,5,6,,,0,,0
,,,,Non-specified ATS,,,,,,,,,,,,,,,,0,,,0,2,,14,9,11,28,20,,,,,,,,,,,,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,0,194,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,1,,,,2,,,,,0,0,0,2,1,0,0,0,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,,0,1,2
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,0,,,,,0,1,3,3,1,1,0,2,0,0,1,0,0,,,0,0,1
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,2,,6,0,15,5,1,2,1,1,2,3,23,0,,27,1,22,25,140,5,158,252,,65,404,502
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,3,2,,1,1,2,3,3,6,5,3,27,,3,1,3,35,4,2,89,3,,0,0,0
,,,,Illicit morphine,,,,,,,,,,,,,,,,4,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,,
,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,10,66,52,13,112,56,91,117,425,124,103,89,231,266,160,185,139,144,240,189,218,200,135,77,,223,180,281
,,,Opium,Opium,,,,,,,,,,,,4,5,10,924,89,82,1,331,244,221,,334,252,216,117,,17,20,1,0,,0,1,0,,0,,0
,,,Other drugs,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,,Cannabis oil,,,,,,,,,,,,,,,,0,,,,0,,0,2,0,1,0,,0,0,0,,,0,0,0,,0,0,0
,,,,Cannabis plants,,,,,,,,,,,,22,,,,16,,,117,4'654,5'058,2'460,741,,5'672,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,,,,0,0,5,52,5,58,1,,,,,,,,,,,,,
,,,,LSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0
,,,,Multiple Drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163'000,,,,,,,
,,,,Non-specified,,,,,,,,,,,,0,1,,6,,,,0,0,0,,,,,,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0
,,,,Other illicit opiates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,0
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,,,,0,0,0,22,,,3,3,,,,,,,,,,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,7
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,,,,2,,,,3,1,,1,0,0
,,,,Poppy plants,,,,,,,,,,,,197,741,,,1'470,1'792,328,1'621,1'056,1'084,1'106,1'412,1'176,1'182,608,,,,,,59,,81,51,,94,119,59
,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,,,,1'106,,,986,,,,,,,,,,,,,
,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,,,,,
,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,13,,20
,,Republic of Moldova,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,2,,0,0,2,4,1,0,0
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,0,,1,,,0,0,0,0,0,0,0
,,,,Non-specified ATS,,,,,,,,,,,,,,,0,0,,21,,0,,,,,,,,,,,,,,,,,,3,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,,,,,,,,0,,,0,1,,,6,6,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,8,0,1,,,1,0,2,6,1,2,1
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,1,1,0,,228,,523,358,,,,,,,1,25,35,,89,82,0,290,11,2,30
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,559,0,,10,,,1,0,,,0,1,0,2,208,0,4,,1,0,2,140,,1,79
,,,,Illicit morphine,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,,,30,230,907,436,,416,,,,,,,708,230,268,659,,,224,198,149,87,91,138,45
,,,Opium,Opium,,,,,,,,,,,,,,,0,1,27,20,13,28,1'584,1'891,1'505,,14,15,19,10,1,27,,,,,,,,0,0
,,,Other drugs,Any Illicit drugs,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,Cannabis oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,0,,,0,0
,,,,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,,,,707,573,,,8'845,78'892,,,15'296,15'653,20'055,8'000,5'500,4'600,3'247
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,0,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,0,5,,,,,,,,,
,,,,LSD,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,Other illicit opiates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,,,,
,,,,Other illicit opioids,,,,,,,,,,,,,,,0,,,0,0,0,1,,172,,0,0,,,0,2,,,,,,,,,
,,,,Other NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,21,2
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,,,,,,,,,
,,,,Poppy plants,,,,,,,,,,,,,,,250,4'398,,597,407,,,,3'635,,460,488,367,95,79,26'075,,,,,,,,,
,,,,Poppy seed,,,,,,,,,,,,,,,,,2'264,,,706,,,,,,,,,,,,,,,,,,,
,,Russian Federation,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,34,41,9,12,38,19,156,88,48,118,49,49,142,2'044,1'244,547,716,331,198,393,586
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,0,,25,4,3,25,24,19,47,60,59,43,44,51,61,30,1'131,20
,,,,Non-specified ATS,,,,,,,,,,,,,,,2,5,22,,,,,2,,,4,3,0,12,1,184,24,100,287,434,728,140,36,297,136
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,59,32,48,69,113,338,3'008
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,66,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,5,1'098,1,45,74,71,100,13,65,83,58,53,93,109,17,158,77,92,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,282,68,446,139,955,144,443,48
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,631,1,1,,,0,,1,,6,11,26,34,35,55,7,5,8,4,96,15,46,,98,294
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,433,,310,293,429,458,651,888,1'589,711,845,1'336,1'424,1'735,1'971,2'101,1'482,1'696,1'700,3'984,2'565,2'275,1'669,2'136,1'961,1'874,1'354,1'118,2'075
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,17,51,9,7,18,24,443,695,984,1'287,842,3'249,3'897,4'676,2'445,2'933,3'443,3'152,2'637,2'015,2'176,2'448,3'227,1'999,966,500,722
,,,,Illicit morphine,,,,,,,,,,,,,,,19,4,45,6,15,2,2,11,2,7,12,5,4,6,4,5,5,1,5,5,2,1,0,0,1
,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,11'518,16'114,19'936,20'142,18'968,22'976,23'511,33'802,23'313,43'877,29'848,41'845,89'653,30'618,23'742,26'865,25'139,33'393,32'004,26'026,26'595,24'809,21'145,20'808,13'434,12'352,12'888
,,,Opium,Opium,,,,,,,,,,,25,,31,14,784,1'157,1'401,223,1'804,1'507,2'186,863,445,2'232,2'058,1'523,535,363,439,310,113,48,183,81,47,6,16,3,1
,,,Other drugs,Acetic anhydride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,
,,,,Aminoindanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,,,,
,,,,Any Illicit drugs,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,4,1,5,0,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7,10,7,28,0,,,
,,,,Cannabis oil,,,,,,,,,,,,,,,52,45,42,,103,141,291,367,209,123,223,267,411,309,419,489,583,485,535,382,363,444,215,170,148
,,,,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'597,2'081,3'199,2'149
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,Coca leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,33,17,91,0,,40,2,62,,213,1'215,1'103,9,74,140,60,889,,,,,,,,
,,,,GBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,518,974,787,639,,,3
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,
,,,,LSD,,,,,,,,,,,,,,,,,,,,,0,2,3,0,1,0,,0,,0,0,1,0,0,0,,,,
,,,,Non-specified,,,,,,,,,,,,,,,3'428,852,,0,674,906,835,,,,,,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,2,3,0,0,2,0,,0,,,,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'386,,,,0,,,
,,,,Other illicit opiates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,16,1
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,106,5,168,55,18,21'470,93,1'004,4,,,62,6,7,69,111,95,4,3,99,0,1,0
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,1
,,,,Other NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,
,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'060,4,30,79,9,,,6
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,23'271,815,215,,,2,122,,,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,17,43,87,39,31,282,81
,,,,Piperazines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,,,0,0,0,
,,,,Poppy plants,,,,,,,,,,,,,66,1'071,22'933,22'865,19'470,853,16'511,18'366,,,,,,3'399,2'543,1'863,2'799,2'807,2'575,4'273,3'196,2'216,1'438,1'043,270,375,222
,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,,18'564,,,,3'285,,,,,,,,,,,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,536,,,1'490,710,518,
,,,,Synthetic cannabinoids under international control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,142,217,85,,27,62,
,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,3'070,2'024,2'663,
,,Ukraine,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,7,58,33,19,2,44,28,2,25,18,32,18,17,
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,5,,,,14,,,
,,,,Non-specified ATS,,,,,,,,,,,,,,4,,,7,40,2,,1,1,,,10,,,,,0,,,2,12,5,,2,1,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,6,,,625,251,26,1,0,0,0,17,2,3,19,44,10,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,44,31,0,5,0,0,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,6,2,0,,,,9,10,3,,,,0,,0,0,0,6,1,
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,208,51,21,10,6'150,14,49,11,7,12,3,0,17,3,,6,,27,,1,258,112,,1,
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,10,4,4,9,22,22,9,207,2,8,2,49,515,306,17,7,10,9,110,38,805,0,0,
,,,,Illicit morphine,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,,,,3'141,1'279,,,4'045,11'610,8'195,80,0,7'358,1'042,210,12'065,3'700,15'282,6'786,7'175,8'001,4'370,2'172,5'384,1'375,3'617,
,,,Opium,Opium,,,,,,,,,,,,62,,120,,23,195,171,127,,166,151,42,3,134,29,57,35,28,69,93,1,6,120,33,57,,,
,,,Other drugs,Acetic anhydride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'504,,,,
,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,
,,,,Cannabis oil,,,,,,,,,,,,,,,,0,,,,,,,,,,235,,,,,,,,,,,,,
,,,,Cannabis plants,,,,,,,,,,,,534,763,1'870,,155,2'159,6'091,5'103,,,,4,84,590,,34'121,135'000,,,,,,,38,41,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,37,,,0,3,,606,,,0,,,,,,,,,,,,,
,,,,Ephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
,,,,LSD,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,2'944,,2,,,,,,
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,4'713,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,Other illicit opiates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,57,10,,
,,,,Other illicit opioids,,,,,,,,,,,,0,,,,,487,,,0,,,20,,,0,,,,,,,,,,,,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,Other NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,13,,,2,,,4,6,,,
,,,,Poppy plants,,,,,,,,,,,,14'617,94,24'269,172,3'879,,34'003,26'633,,,,23'115,,,,,,164'000,,4'162,,7,,384,930,,,
,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,133,,,,,,159,,,,,,,,,,,,,
,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,,,
,,USSR,ATS (excluding ecstasy),Non-specified ATS,,,0,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",0,,,,,,,4,4,0,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hashish (resin),Hashish (resin),,,,,,,,,,3'000,4'267,3'021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Heroine and Morphine,Heroin,,,,0,6,15,3,1,21,6,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Illicit morphine,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),11,15,23,26,38,13,24,7'092,17,201,88,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Opium,Opium,1,1,13,2,1,5,7,18,10,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Other drugs,Cannabis plants,,,,,,,,,,1'140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,0,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Other illicit opioids,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Poppy plants,,,,,,,1,,,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South-Eastern Europe (including Turkey),Albania,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,0,,,,,,,,,
